id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-08-28T18:24:00;26847;31692
2;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-08-28T15:03:58;35864;14008
3;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-08-29T06:11:58;55281;29359
4;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-08-29T02:47:27;62789;79829
5;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-08-29T00:56:55;67202;3594
6;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-08-29T13:53:42;82260;30326
7;Forest;Leuschke;Ericka_Lebsack27@gmail.com;Orchestrator;2019-08-29T03:51:10;8534;84202
8;Amely;Dietrich;Hank_Lindgren13@yahoo.com;Frozen Analyst card;2019-08-29T13:50:29;79518;39882
9;Donato;Kemmer;Natalie2@yahoo.com;Brand;2019-08-28T18:45:50;42831;69597
10;Martina;Jaskolski;Chadd44@gmail.com;Optimized;2019-08-29T12:34:27;71459;18286
